taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	
Chrysospalax trevelyani						AY451976																													AY986752									
Trichechus inunguis																																							AY965887	JX982647				
Trichechus senegalensis																																							AY965881	AY963896				
Dendrohyrax dorsalis															AJ251103	AJ438480																										DQ091207		
Elephantulus rozeti																	AY310881																			AY310895							DQ275735	
Geogale aurita		AM905338																	DQ202287	AM905352		AM905342																						
Microgale talazaci						AY451979													AF392885																AY986751						AY986738			
Hemicentetes semispinosus		AJ893567																	DQ202288	AJ891093		AJ891065																						
Setifer setosus		AJ893566																	DQ202292	AJ891098		AJ891077																						
Oryzorictes talpoides			AF153005										AF434836						AF392886																AY986750						AY986737			
Petrodromus tetradactylus											DQ901226						AY310883													AF210659						EU136145		DQ901190						
Microgale brevicaudata		AJ893569											EU142131						AM905345	AM905350		AJ891072																						
Elephantulus edwardii											DQ901094			EU168894			AY310885													AF210654						AY310899		DQ901016						
Limnogale mergulus		AJ893570																	DQ202289	AJ891096		AJ891069													JQ073057		JQ073180							
Choloepus hoffmanni	AY011313			AY011377	AY011559	AY011622	AY011865					EF122088																						AY011252	AY011441									
Choloepus didactylus	AY011314			AY011378	AY011560	AY011623	AY011866					EF122087																						AY011253	AY011442									
Micropotamogale lamottei		AJ893571								AY121759					AJ251106			AJ270467	DQ202290	AF390538		AJ251107													JQ073056		JQ073179							
Tenrec ecaudatus		AJ893564				AY451983									AJ251104				AF392890	AF390536	AY133060	AJ251108													AY986749						AY986740			
Mammut americanum																							GU558740	GU558741	GU558742	GU558744	GU558746	GU558748	GU558750		GU558752	GU558753	GU558763											
Rhynchocyon petersi	JN633535				JN633152		JN633589	JN633300	JN633232								EU136153																	JN633659	JN633360	JN414765					JN632733			
Mammuthus primigenius																							GU558341	GU558344	GU558326	GU558327	GU558346	GU558350	GU558351		GU558356	GU558357	GU558368					D50842						
Loxodonta cyclotis																							GU557156	GU557160	GU557161	GU557162	GU557164	GU557168	GU557170		GU557175	GU557176	GU557188					AF132530						
Heterohyrax brucei	JN633536			JN633725	JN633153	JN633471		JN633301	JN633233											JN415026														JN633660	JN633361	JN414766					JN632734	DQ091206		
Chrysochloris asiatica	JN633534			JN633723	JN633151		JN633588	JN633299	JN633231					EU168893		AJ438483				JN415024		JN413821												JN633658	JN633359						JN632732			
Amblysomus hottentotus	AY059677	AJ893562	M95108	AY059681	AY059693	AY059696	JN633587	AY059712	AY059699			EF122086			Y15952			AJ270468		JN415023	AY133061	JN413808												AY059671	AY059685						JN632731		DQ272755	
Macroscelides proboscideus	AY011327	AM905337			AY011572		AY011876	AY011933	AY011699		DQ901220	EF122094			Y10630	AJ438487	AY310886				AY133059									AF210658				AY059674	AY011454	AY310900		DQ901188			AY011514			
Dugong dugon	JN633537			JN633726	JN633154	JN633472	JN633590	JN633302	JN633234	AF284019					Y15949			AJ270464		U31608														JN633661		U48583					JN632735			
Echinops telfairi	AY011323	AJ893565	AF434821	AY011387	AY011568	AY011632	AY059702	AY011930	AY011695			EF122090		EU168892	AJ251105			AJ270466	AF392889	AF076478		Y17692												AY059672	AY059686		JQ073181				AY011510			
Procavia capensis	AY011325	AJ893561	AY012105	AY011389	AY011570	AY011634		JX869932	AY011697			EF122097		EU168895	Y10631					U31619	AY133057													AY011263	AY011452	U48586		D86909			AY011512	DQ091205		
Orycteropus afer	AY011329	AJ893563	AY012109	AY011392	AY011574	AY011638	AY011878	AY011935	AY011701	AF284030		EF122096		GQ487628	Y10632	AJ438479				U31617	AY133058													AY011266	AY011456	U48712					AY011515		DQ272896	
Loxodonta africana	AY011326			AY011390	AY011571	AY011635	AY011875	AY011932	AY011698	AF284021				EU168890						U31615	EU588731		GU557977	GU557981	GU557982	GU557983	GU557985	GU557989	GU557991		GU557996	GU557997	GU558009	AY011264	AY011453	U48711		AY768928			AY011513	DQ091201		
Elephas maximus	JN633538	AJ893560		JN633727	JN633155		JN633591	JN633303	JN633235	AF284022		EF122092		EU168889	Y10629	AJ438478		AJ270463		U31611	AY133055		GU557531	GU557535	GU557536	GU557537	GU557539	GU557543	GU557545		GU557922	GU557551	GU557560		JQ073061	AY243443	AY125021	AY769975			JN632736	FJ716086		
