taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	
Thaptomys nigrita													EF206818							GU938910								EF626800																		AF108666			
Abrothrix olivaceus																												AY277420										AY840028			HM167798					AY275111			
Lemmus trimucronatus																				JF456615																AF128943							AF323046			AF119276			
Melanomys chrysomelas				EU648996																								EU649053											JF693842							EU340018			
Oxymycterus paramensis							AY042042	AY042035																																						U03536	AY041487		
Holochilus sciureus																									AY269987			EU649049													AF108697					EU579497			
Nesoryzomys swarthi																												AY163601											JF693850		GU126524					EU340014			
Oligoryzomys destructor	EU192176																											EU649061													EU192171					EU258544			
Irenomys tarsalis																										AY294991	AY294962	AY163587																		U03534			
Zygodontomys cherriei																												AY163646											JF693874		GU126550					EU579520			
Auliscomys micropus																											AY963183	AY277457													GU553879					AF108690			
Sigmodontomys alfari																												EU649071											JF693868		GU126548					EU074635			
Eremoryzomys polius																												AY163624											JF693831		GU126540					EU579483			
Oreoryzomys balneator																												EU649068											JF693862		GU126535					EU579510			
Delomys sublineatus																				GU938952								AY163582											JF693830							AF108687			
Microtus fortis																				HM137730								JF906129																	GQ374494	EU870638			
Microtus oregoni															EU175995						FN433515	GU954395																								AF163903			
Proedromys liangshanensis																												JF906132										GQ452096							GQ374490	JF906119			
Aegialomys xanthaeolus				EU648975																								GQ178247											JF693827							EU579479			
Neacomys minutus																												EU649055											JF693844		GU126519					EU579502			
Ellobius talpinus									GQ267510			FJ411201																					DQ156955												GQ142005				
Bolomys lasiurus																				GU938998								AY277459													EF531690					U03528			
Arvicola sapidus																FN433498					AJ132878							JX457665																		FJ539341			
Reithrodontomys gracilis																				JF446209								EF989905																	EF989804	AY859432			
Pseudoryzomys simplex																												EU649070											JF693866		GU126547					EU579517			
Scotinomys xerampelinus																				JF459562								EF989932																	EF989831	DQ861371			
Rhipidomys leucodactylus													FJ361098							JQ601413																					HQ634183					U03550			
Rhipidomys macconnelli																				JF492365								AY277474													HM594674					AF108681			
Handleyomys intectus				EU648984																								AY163584											JF693836							EU579490			
Hylaeamys laticeps				EU648991																								EU649050													AF251521					EU579498			
Nectomys apicalis				EU649003																								EU649056													U03539					EU340013			
Chionomys gud									GQ267512																				HQ901913	HQ901974																EU700087			
Baiomys musculus																				JF445328								EF989835																	EF989735	AF548488			
Oecomys trinitatis																												AY163608											JF693856		U58390					GU126527			
Oecomys catherinae																												AY163605											JF693853		HM594616					EU579507			
Sigmodon alstoni																				HQ919654								EU635698													EU652907					AF293397			
Lasiopodomys mandarinus									GQ267514																			AM919413																	AM392396	FJ986322			
Myopus schisticolor									GQ267504																											AF128933		AJ009885							GQ142001	AF119263			
