taxon	trnL-trnF-intergenic-spacer	matR	atpA	ndhF	rpoC2	trnL	psbD	rps7	psbD.1	ndhB	psbE	rpl2	TB1b	matK	DEF	cob	psbB	atpB	rps16	rbcL	18S-small-subunit-ribosomal-RNA	rpoB	rpoC1	Ac-III-transposable-element-insertion-site	At2g28050-like-protein	26S-ribosomal-RNA	ndhF.1	FWA	accD	ndhJ	trnL-trnF-intergenic-spacer.1	trnL-trnF-intergenic-spacer.2	psbA-trnH-intergenic-spacer;-may-also-contain-psbA-and-trnH-genes	are11	are12	5.8S-ribosomal-RNA	are3	are4	contains-5S-ribosomal-RNA-and-nontranscribed-spacer	
Siderasis fuscata				AY624128																AF312254												EF092885								
Eichhornia paniculata			AY299763																	U41578							U41603													
Wachendorfia thyrsiflora						AJ387739								EU499269						AF312266																				
Heteranthera rotundifolia			AY299782																	U41585							U41610													
Elasis hirsuta				AY624118																AF312251	AF168840																			
Haemodorum laxum						EU499232								EU499288						HQ845620																				
Callisia repens				AY624109																AF312247												EF092886								
Callisia fragrans														GU135072						GU135236												EF092890								
Tripogandra serrulata														JQ587274						JQ591135												EF092880								
Cyanotis speciosa														JQ024953						JQ025038												EF092879								
Palisota ambigua				FJ861139																FJ861122									HM237191											
Cochliostema odoratissimum			AY299750	AY624114																AY298824																				
Tradescantia fluminensis														HM850902						HM850406												EF092895								
Tradescantia spathacea														GU135029						GU135192												EF092901								
Anigozanthos manglesii						AM113699								AM114721					AM116856	AM110248																				
Eichhornia azurea			AY299762													DQ916696				U41573							U41598													
Monochoria korsakowii			AY299803	U41615												DQ916697				U41590																				
Dichorisandra thyrsiflora			AY299757	AY624117																AY298828												EF092884								
Spatholirion longifolium				AY624112		AJ387744								EU499298						AF036887																				
Commelina dianthifolia													JQ622135		JQ622140																	EF092857							EF101245	
Conostylis glabra														EU499249								AM883963	AM883645						AM883296	AM883583										
Conostylis breviscapa														AM883865								AM883613	AM883650						AM883532	AM883903										
Weldenia candida				AY624126		AJ387746								EU499300					AF141094	AF312245																				
Philydrella pygmaea			AY299823			AF431636										DQ916694		AF209651		AF206808	AF206990																			
Commelina purpurea																				GQ248575		GQ248751	EF590604							EF590971		EF092870	GQ248272						EF101243	
Cartonema philydroides				FJ861138					AY147647	AY147459	AY147555	AY147694					AY147508	AY147602		FJ861121																				
Palisota bogneri				AY147771					AY147652	AY147464	AY147560	AY147699					AY147513	AY147606		AY149356																				
Helmholtzia acorifolia				EF422989				EF422879	EF422894	EF422886	EF422900	EF422906					EF422889	AF168922		EF422994																				
Philydrella drummondii				EF422988				EF422878	EF422893	EF422885	EF422899	EF422905					EF422883	EF422983		EF422993																				
Hydrothrix gardneri			AY299783	U41606					AY147650	AY147462	AY147558	AY147697					AY147511	AY147604		U41582																				
Xiphidium caeruleum			AY299858			EU499235			AY147657	AY147470	AY147565	AY147704		EU499294			AY147518	AY147611		AY149359																				
Helmholtzia glaberrima			AY299779	FJ861141		AJ387741			AY465663	AY465614	AY465586	AY465716					AY465559	AY465533		AY298834																				
Pontederia cordata		HQ437985	AY299828			AJ387743								AF434872		DQ916698		AF387601		U41594	AF206998					AF205517	U41619													
Belosynapsis ciliata				HQ181105	HQ182946		HQ181949		HQ181906	HQ180936				HQ180856			HQ181864	HQ180447		HQ182418										HQ181273										
Philydrum lanuginosum		DQ401406	AY299824	U41622	DQ407124				AY147653	AY147465	AY147561	AY147700				DQ916695	AY147514	AY147607		U41596						AF205519														
Hanguana malayana			AY299775	AY007654		AM113698		EF422880	EF422895	EF422887	EF422901	EF422907		JQ435569		DQ916693	EF422890	AF387602	AM116855	AB088830	AF387604																			
Anigozanthos flavidus			AF039246			AJ387725	EF422874	EF422877	EF422875	EF422873	EF422898	EF422904		AB088796		DQ916692	EF422888	AF387600	AJ404968	AJ404843	AF069214					AF290587														
Arabidopsis arenosa	DQ529074																							EU480600	EU553731			AB367810			DQ529021			AY170199	AY170206	U43230	AY170185	AY170186		
Arabidopsis thaliana	EF586338																			AY174632				EU480675	GQ343738			AB363661			EF586455			AY164081	AY164106	AJ232900	AY162005	AY163906		
