taxon	BRCA1	ATP7A	DMP1	cytb	PLCB4	PNOC	TYR	cytb.1	adra2b	PEPCK	16S-rRNA	Tas1r2	Trpc2	APOB	cytochrome-b	GJB6	ND1	Dby	SP-C	Dby.1	RNase-A-family-pancreatic-ribonuclease-1	L-gulonolactone-oxidase	unknown	CRX	ORF-II	kcnq4	kcnq4.1	CNGA1	dfnb59	TMC1	Usp9x	Chd1	HoxD10	12S-ribosomal-RNA	TUFM	DHX29	DIS3	HDAC1	RIOK3	ND2	ND2.1	tRNA-Val	brca1	Rag1	RAG2	STAT5A	Thy	PRKC1	COI	Fib	MGF	forkhead-box-P2	ND1.1	Foxp2	ND3	vWF	forkhead-box-P2.1	IRBP	tRNA-Val.1	SLC26A5	ADRB2	APP	OPN1LW	OPN1SW	c-mos	unknown.1	
Scotonycteris zenkeri	JN398265																																											JN398297	JN398312											JN398280											
Casinycteris argynnis	JN398264																																											JN398284	JN398301											JN398268											
Vampyrum spectrum				FJ155482						FN641673																																			AF316495											FN645695											
Glyphonycteris sylvestris					FN643258						FN645705																																		AF316471											FN645675											
Cistugo lesueuri								AJ841961																																						AJ865442	AJ865687	AJ866333																			
Myotis muricola								AY665143													HM228968													DQ410785															JF443992																		
Musonycteris harrisoni					FN643264																																						FN641919		AF316475											FN645682											
Sturnira lilium				AF187035																				HQ651135																					DQ903846										DQ312362												
Barbastella beijingensis								EF534762													HM228930						HE608273																																	GU219833							
Phyllostomus discolor					FN643269						FN645716																																		FN641681											FN645687											
Cynomops abrasus			HQ671562														JF509375																												HQ671584						JF509394																
Nyctinomops femorosaccus			HQ671572														JF509368																																	HQ671620	JF509386																
Dobsonia minor																																												FJ218467	FJ218463											DQ445701			AY044764								
Macroglossus sobrinus	JN398236																																											JN398291	JN398307											JN398274											
Eonycteris robusta	JN398251																																											JN398286	JN398303											JN398270											
Hipposideros cervinus																													JN899032	JN898979										AY504528				JN714703																							
Platyrrhinus helleri				L28940														JF458470																											AF316481										DQ312381												
Phylloderma stenops				FJ155480						FN641671																																			AF316480											FN645691											
Pteronotus macleayii																GU326375																													AF338700									EU087936			EU087991										
