taxon	COI	thyrotropin-beta-subunit	MGF	PRKC1	beta-spectrin	thyroglobulin	ND4	12S-ribosomal-RNA	cytb	cytb.1	
Cavia patzelti										GU136760	
Cavia fulgida										GU136737	
Ochotona macrotis							AF273133		AF273010		
Ochotona mantchurica	DQ347451								EF567058		
Poelagus marjorita				AY292767		AY292835					
Nesolagus netscheri		AY292683	AY292759	AY292786		AY292854		AF176588			
Caprolagus hispidus			AY292743	AY292770	AY292812	AY292838		AY292693	AY292719		
Nesolagus timinsi		AY292684	AY292760	AY292787	AY292828	AY292855		AY292710	JN709880		
Pronolagus saundersiae		AY292686	AY292762	AY292789	AY292830	AY292857		AY292712	AY292736		
Brachylagus idahoensis		AY292669	AY292745	AY292772	AY292814	AY292840		U58921	AY292721		
Pentalagus furnessi		AY292668	AY292744	AY292771	AY292813	AY292839		AB058608	AB058604		
Romerolagus diazi		AY292682	AY292758	AY292785	AY292827	AY292853		AB053205	AY292734		
Sylvilagus audubonii		AY292670	AY292746	AY292773	AY292815	AY292841		AY292696	AY292722		
Lepus sinensis			HM233690	HM233514	HM233490	HM233445		AY745174	AJ279418		
Pronolagus crassicaudatus		AY292688	AY292764	AY292791	AY292832	AY292859		U31044	AY292738		
Bunolagus monticularis		AY292666	AY292742	AY292769	AY292811	AY292837		U58922	AY292718		
Lepus castroviejoi		JN037102	FJ811711	FJ811679	FJ811656				AY942569		
Oryctolagus cuniculus		AY292665	AY292741	JN037024	AY292810	AY292836		FM164771	AY292717		
Sylvilagus floridanus		JN037131	AY292748	AY292775	AY292817	AY292843		AY012126	AY292724		
