taxon	cytb	COI	CREM	CREM.1	PLCB4	ADORA3	Tcf25	vWf	Bmp4	sry	cytochrome-c-oxidase-subunit-II	control-region	BMI1	cytb.1	MGF	THY	PRKC1	12S-ribosomal-RNA	BDNF	CNR1	Rag2	ApoB	BRCA1	control-region.1	cytochrome-b	DBY	ApoB.1	RAG1	cytb.2	12S-ribosomal-RNA.1	BRCA1.1	unknown	STAT5A	adra2b	GHR	16S-ribosomal-RNA	unknown.1	RH1	cytochrome-b.1	von-Willebrand-factor	ND2	ND2.1	PRNP	HBD2	ND5	ND2.2	ApoB.2	12S-ribosomal-RNA.2	cytb.3	control-region.2	COI.1	SP-C	ENAM	RAG1.1	HBA2	HBD1	
Scaptonyx fusicaudus																												AB106241	AB106229																												
Cryptotis goldmani																													AB175138																		DQ630189										
Hylomys parvus																											DQ630205		DQ630430																												
Mesechinus hughi																													HQ857530																	HQ857512											
Mesechinus dauuricus																													HQ857526																	HQ857506											
Mogera insularis																												AB176544	AB181619																												
Sorex arizonae																									EF626664				FJ657536																												
Scapanus townsendii																													AB076819								FJ361350																				
Uropsilus soricipes																													JQ868723																									AY249874			
Uropsilus gracilis																												AB106240	AB076700																												
Euroscaptor malayana																												AB185156	AB185152																												
Scaptochirus moschatus																												AB353298	AB306502																												
Hemiechinus auritus																													HQ857522																	HQ857503											
Talpa occidentalis										X90843																			FN640556																												
Cryptotis parva																													AB175135		DQ630261																DQ630180										
Neohylomys hainanensis		HM031765																											HQ857536												HQ857516																
Chimarrogale platycephala																													AB108732		DQ630249																DQ630178										
Diplomesodon pulchellum																													EF524581							EF524798											EF524909										
Sorex satunini																										HM036143			HM036166		HM036132																										
Neotetracus sinensis		JQ600048																											HQ857532												HQ857513																
Scapanus latimanus																													AB076814								FJ385774															EF094871					
Cynopterus horsfieldii	EF201624											AY629113																																							HM540207						
Ruwenzorisorex suncoides															DQ309846		DQ309840																			AF274558																					
Notiosorex crawfordi																													AY611573		DQ630272																DQ630192										
Blarina hylophaga																													AY546680																				JF912178	AY121896							
Congosorex phillipsorum																																				EF507186						GU473580					GU473390										
Suncus megalura		JQ732328																											JQ732391							EF524904											EF525047										
Parascalops breweri													AY986743						AY986753										AB076808						AF392883																						
Echinosorex gymnura			AY451978		AY451986								AY986735						AY986746																																						
Cynopterus brachyotis	AY922562											AY629008									GQ410233																														JQ599879						
Crocidura hildegardeae																													EF524735							EF507188						AY691838					EF524951										
Suncus infinitesimus															DQ309843		DQ309835												EF524781							EF524889											EF525046										
Neurotrichus gibbsii		JF435997																											FJ595237															JN208874											JN208871	JQ336984	
Myosorex geata																													JX193701				EU652017			AF274560						GU473538					GU473401										
Urotrichus talpoides									AB638588		AB033722																	AB106245	EU918370									AB455206																			
