NBCI_TAX_Genus	NBCI_TAX_Species	Suggested_IUCN_Genus	Suggested_IUCN_Species
Abeomelomys	sevia	Abeomelomys	sevia
Abrocoma	bennettii	Abrocoma	bennettii
Abrocoma	cinerea	Abrocoma	cinerea
Abrothrix	andinus	Abrothrix	andinus
Abrothrix	hershkovitzi	Abrothrix	hershkovitzi
Abrothrix	illuteus	Abrothrix	illuteus
Abrothrix	jelskii	Abrothrix	jelskii
Abrothrix	lanosus	Abrothrix	lanosus
Abrothrix	longipilis	Abrothrix	longipilis
Abrothrix	markhami	Abrothrix	markhami
Abrothrix	olivaceus	Abrothrix	olivaceus
Acerodon	celebensis	Acerodon	celebensis
Acomys	cahirinus	Acomys	cahirinus
Acomys	dimidiatus	Acomys	dimidiatus
Acomys	ignitus	Acomys	ignitus
Acomys	percivali	Acomys	percivali
Acomys	russatus	Acomys	russatus
Acomys	spinosissimus	Acomys	spinosissimus
Acomys	wilsoni	Acomys	wilsoni
Aconaemys	fuscus	Aconaemys	fuscus
Acrobates	pygmaeus	Acrobates	pygmaeus
Addax	nasomaculatus	Addax	nasomaculatus
Aegialomys	xanthaeolus	Aegialomys	xanthaeolus
Aepyceros	melampus	Aepyceros	melampus
Aepyprymnus	rufescens	Aepyprymnus	rufescens
Aethalops	alecto	Aethalops	alecto
Aethomys	chrysophilus	Aethomys	chrysophilus
Ailuropoda	melanoleuca	Ailuropoda	melanoleuca
Ailurops	ursinus	Ailurops	ursinus
Ailurus	fulgens	Ailurus	fulgens
Akodon	aerosus	Akodon	aerosus
Akodon	affinis	Akodon	affinis
Akodon	albiventer	Akodon	albiventer
Akodon	azarae	Akodon	azarae
Akodon	boliviensis	Akodon	boliviensis
Akodon	budini	Akodon	budini
Akodon	caenosus	Delete	Delete
Akodon	cursor	Akodon	cursor
Akodon	dayi	Akodon	dayi
Akodon	dolores	Akodon	dolores
Akodon	fumeus	Akodon	fumeus
Akodon	glaucinus	Delete	Delete
Akodon	iniscatus	Akodon	iniscatus
Akodon	juninensis	Akodon	juninensis
Akodon	latebricola	Akodon	latebricola
Akodon	lindberghi	Akodon	lindberghi
Akodon	lutescens	Akodon	lutescens
Akodon	mimus	Akodon	mimus
Akodon	molinae	Akodon	molinae
Akodon	mollis	Akodon	mollis
Akodon	montensis	Akodon	montensis
Akodon	mystax	Akodon	mystax
Akodon	orophilus	Akodon	orophilus
Akodon	paranaensis	Akodon	paranaensis
Akodon	philipmyersi	Akodon	philipmyersi
Akodon	polopi	Delete	Delete
Akodon	puer	Delete	Delete
Akodon	reigi	Akodon	reigi
Akodon	serrensis	Akodon	serrensis
Akodon	siberiae	Akodon	siberiae
Akodon	simulator	Akodon	simulator
Akodon	spegazzinii	Akodon	spegazzinii
Akodon	subfuscus	Akodon	subfuscus
Akodon	sylvanus	Akodon	sylvanus
Akodon	tartareus	Delete	Delete
Akodon	toba	Akodon	toba
Akodon	torques	Akodon	torques
Akodon	varius	Akodon	varius
Akodon	viridescens	Delete	Delete
Alcelaphus	buselaphus	Alcelaphus	buselaphus
Alcelaphus	caama	Delete	Delete
Alionycteris	paucidentata	Alionycteris	paucidentata
Allactaga	bullata	Allactaga	bullata
Allactaga	elater	Allactaga	elater
Allactaga	euphratica	Allactaga	euphratica
Allactaga	firouzi	Allactaga	firouzi
Allactaga	hotsoni	Allactaga	hotsoni
Allactaga	major	Allactaga	major
Allactaga	sibirica	Allactaga	sibirica
Allactaga	toussi	Delete	Delete
Allactaga	williamsi	Allactaga	williamsi
Allactodipus	bobrinskii	Allactodipus	bobrinskii
Allenopithecus	nigroviridis	Allenopithecus	nigroviridis
Allocebus	trichotis	Allocebus	trichotis
Alouatta	belzebul	Alouatta	belzebul
Alouatta	caraya	Alouatta	caraya
Alouatta	guariba	Alouatta	guariba
Alouatta	palliata	Alouatta	palliata
Alouatta	pigra	Alouatta	pigra
Alouatta	sara	Alouatta	sara
Alouatta	seniculus	Alouatta	seniculus
Amblysomus	hottentotus	Amblysomus	hottentotus
Ammospermophilus	harrisii	Ammospermophilus	harrisii
Ammospermophilus	insularis	Delete	Delete
Ammospermophilus	interpres	Ammospermophilus	interpres
Ammospermophilus	leucurus	Ammospermophilus	leucurus
