taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	
Philander andersoni																						EU095477							JQ388603		
Phalanger maculatus																							AB326412							AF108222	
Dorcopsis hageni																													HQ284010	HQ283962	
Monodelphis glirina					HQ454254																								HM998559		
Bettongia lesueur																												AF011243	AY237242	AY245620	
Dendrolagus inustus																										AY243388			FJ937821	U21169	
Petaurus australis	GQ323955						GQ323890						GQ323979																		
Thylamys sponsorius			HM583520	HM583554																									HM583436		
Planigale tenuirostris																					AF001594								U07591	AF001944	
Phascomurexia naso																EF011640		EF025053	EF032338								EF028745				
Lestodelphys halli			HM583502									DQ083133															AF257710		HM583365		
Thylogale billardierii													HQ283979												FJ986413				JN202485	HQ283960	
Chaeropus ecaudatus																JF706364										EU369367			JF718363	AF131247	
Thylacinus cynocephalus															JQ318687						U87140						EU091365		M99452	U87405	
Strigocuscus pelengensis						FJ623988											FJ624074			FJ624004						FJ624051	FJ624027				
Hyladelphys kalinowskii		DQ865923										DQ112326					FJ159341			FJ159291							DQ112325				
Trichosurus johnstonii						FJ623990											FJ624076			FJ624005						FJ624053	FJ624029				
Spilocuscus maculatus						FJ623985	AF343889										FJ624071			EF025764						FJ624048	FJ624024				
Pseudochirulus caroli														GU199271			GU199317			GU199277						GU199311	GU199305				
Caluromys lanatus		DQ865883										DQ083120					FJ159328			FJ159278							AF257690		U34663		
Strigocuscus celebensis						FJ623987											FJ624073			EF025759						FJ624050	FJ624026			AY735445	
Marmosa rubra		DQ865901										DQ083139					FJ159347			FJ159297							AY233776		HM106366		
Sminthopsis bindi																JQ413952		JQ599231	AF088938		AF089873								AF088921	AF088962	
Cryptonanus chacoensis		DQ865886										DQ083123					FJ159331			FJ159281							AY957494		GQ911596		
Tlacuatzin canescens		DQ865922										DQ083160					FJ159370			FJ159321							AY233767		HM106340		
Pseudochirops albertisii														GU199273			GU199319			GU199279						GU199313	GU199307				
Hemibelideus lemuroides														FJ623976			FJ624062			FJ623997						FJ624038	FJ624014				
Petropseudes dahli														FJ623980			FJ624066			FJ624000						FJ624042	FJ624018				
Monodelphis theresa		DQ865914										DQ083152					FJ159360			FJ159310							AY233783		HM998595		
Bettongia tropica							JX104579						JX104641	JX104618	JX111907											JX104593			AY237236	AY245618	
Dasykaluta rosamondae																AY528907		AY531239			L35325						AY532669		M99456	L28085	
Micoureus regina		DQ865910										EU327817			JF457826		FJ159356			FJ159306							AY233780		EF587310		
Dendrolagus lumholtzi							JQ042161						JQ042230		JQ042184					JQ042207					AY040881				JQ042138		
Pseudochirulus herbertensis														FJ623983		AY228377	FJ624069			AY243448						FJ624046	FJ624022				
Lasiorhinus latifrons														FJ623977			FJ624063			FJ623998						FJ624039	FJ624015		HM008259	U21175	
Myoictis wallacei																AY528914		AY531246			AF010269						AY532676		AY609368	AF009887	
Gracilinanus emiliae		DQ865894	HM583501									DQ083131					FJ159339			FJ159289							AY957486		HM583367		
Wyulda squamicaudata						FJ623991	AF343892										FJ624077			FJ624006						FJ624054	FJ624030			AY735446	
Antechinomys laniger																JQ413947		JQ599227	AF088936		AF001587						JQ687036		AF001583	AF001936	
Micromurexia habbema																EF011638		EF025051	EF032336		AF038300						EF028743		U07576	AF038313	
Philander frenatus		DQ865915										DQ083153					FJ159362			FJ159312		GU112856					AY233786		JQ778966		
Ningaui yvonnae																JQ413967		JQ599246	AF088958		AF001589						JQ687055		U07587	AF001938	
Ningaui timealeyi																JQ413969		JQ599248	AF088957		AF001590						JQ687057		AF001584	AF001939	
Neophascogale lorentzii																AY528924		AY531257			AF010267						AY532687		U07585	AF009894	
Perameles bougainville														JF912092			JF912132			JF912100						JF912123	JF912111			AF250019	
Planigale gilesi																JQ413972		JQ599251			AF001593						JQ687059		U07589	AF001943	
Cryptonanus unduaviensis		DQ865887	HM583500									DQ083124					FJ159332			FJ159282							AY957492		HM583366		
Peroryctes broadbenti						JF912095											JF912136			JF912105						JF912126	JF912115		JF718359	JF694108	
Pseudantechinus ningbing																AY528912		AY531244			AF010278						AY532674		U07592	AF009896	
Pseudantechinus woolleyae																AY528910		AY531242			AF010279						AY532672		U07593	AF009883	
Ailurops ursinus						FJ623969											FJ624055			EF025758				AF303966		FJ624031	FJ624007			AY735447	
Murexchinus melanurus																EF011639		EF025052	EF032337		AF038299						EF028744		U07577	AF038312	
Microperoryctes papuensis						JF912094										JF706354	JF912135			JF912103						JF912125	JF912114		JF718358	JF694100	
Parantechinus apicalis																AY528908		AY531240	AY168272		L35326						AY532670		M99457	U87403	
Spilocuscus rufoniger						FJ623986	AF343888									AF187890	FJ624072			EF025763						FJ624049	FJ624025			AF108221	
Potorous gilbertii							JX104577						JX104639	JX104616	JX111905											JX104591			AY237231	JX104630	
Myoictis melas																AY528913		AY531245			AF010268						AY532675		U07584	AY609353	
Dasyurus hallucatus																AY528917		AY531249			L35341						AY532679		M99460	U87400	
Antechinus godmani																EF011636		EF025049			AF038296						EF028741		AF038288	AF038309	
Phascogale calura																EF011642		EF025055	EF032342		AF038303						EF028747		U22430	AF038316	
Dasycercus cristicauda																AY528916		AY531248	JN704384		AF010270						AY532678		EU086670	EU086640	
Phalanger gymnotis						FJ623981	AF343886										FJ624067			EF025762						FJ624043	FJ624019	AF011250		AF108218	
Sminthopsis griseoventer													DQ157413			JQ413964		JQ599243	JN714265		AF089878						JQ687052		AF088926	AF088968	
Petauroides volans	DQ889448						GQ323898							FJ623978			FJ624064			AY243455						FJ624040	FJ624016				
Lagostrophus fasciatus														FJ603149		AY189935	FJ603258			FJ603176	AY189936					FJ603230	FJ603203	AF011263			
Dorcopsulus vanheurni														FJ603147		AF027994	FJ603255			FJ603173	AF187539					FJ603227	FJ603200		FJ937797		
Onychogalea unguifera														FJ603160			FJ603269			FJ603188	AF187543					FJ603242	FJ603214	AF011253		AF027992	
Trichosurus caninus						FJ623989	AF343891										FJ624075			EF025761						FJ624052	FJ624028		AF152861	AY245623	
Pseudochirops archeri														AY243425		AY228378	AY243409			FJ624002						FJ624045	FJ624021			U21180	
Paramurexia rothschildi																EF011641		EF025054	EF032340		AF038302						EF028746	AF011256	U07583	AF038315	
Dactylopsila palpator							AF300993							FJ623972			FJ624058			FJ623994						FJ624034	FJ624010	AF011235			
Microperoryctes longicauda						EU369355											EU369372			EU369360				AY125032		EU369368	EU369365	AF011258		AF038017	
Burramys parvus							AF206308							FJ623970	DQ217585	AY228382	FJ624056			FJ623992						FJ624032	FJ624008			AF108223	
Petrogale brachyotis							JQ623170						JQ623460		JQ042166					JQ623268					HM136901				JQ042120		
Petrogale lateralis							JQ042153						JQ042222	GU566713	JQ042176		GU566725			GU566716						GU566722	GU566719		JQ042130		
Distoechurus pennatus														FJ623974		AY228376	FJ624060			FJ623996						FJ624036	FJ624012	AF011234		U21170	
Gracilinanus microtarsus		DQ865895										DQ083132			GU112802		FJ159340			FJ159290							AF257687		GU112891	AJ628389	
Antechinus leo																EF011635		EF025048			AF038297						EF028740	AF011245	AF038289	AF038310	
Chironectes minimus		DQ865885										DQ083122			JF457701		FJ159330			FJ159280							AF257679		AJ628363	AF128229	
Thylogale brunii													HQ283965	GU566714			GU566726			GU566717						GU566723	GU566720	AF011266	JN202484	HQ283940	
Marmosops pinheiroi		DQ865906										DQ083144			JF457808		FJ159352			FJ159302		JF459193							AJ606431	AJ628382	
Thylamys pallidior		DQ865919	HM583514	HM583550								DQ083157					FJ159367			FJ159318							AF257689		HM583390		
Peroryctes raffrayana						EU369356										JF706352	EU369373			EU369361						EU369369	EU369366	AF011268	JF718360	JF694107	
Onychogalea fraenata														FJ603159		AF187889	FJ603268			FJ603187	AF187542					FJ603241	FJ603213		AY099278		
Echymipera clara						JF912086										JF706363	JF912127			JF912096						JF912116	JF912106	AF011231	JF718351	AF297695	
Micoureus demerarae		DQ865908										EU327796			GU112829		FJ159354			FJ159304							AF257691		U34674	AJ628384	
Petaurus norfolcensis	GQ323933						GQ323867						GQ324000	FJ623979			FJ624065			FJ623999						FJ624041	FJ624017		FJ657606		
Manis pentadactyla								EF104992	GU931086	JN632924	AY011501													AY011919							
Manis tricuspis								JN632754	JN632817	JN632925	JN633373													JN633610							
Lagorchestes hirsutus						FJ603142										AF027996	FJ603257			FJ603175	AF187544					FJ603229	FJ603202	AF011262	AY099273		
Lutreolina crassicaudata		DQ865896										DQ083134					FJ159342			FJ159292						AY243390	AF257684		AJ628364	U33494	
Dasyuroides byrnei															JF444296	AY528915		AY531247			AF010271						AY532677		U07579	AF009888	
Marmosops noctivagus		DQ865904										DQ083142			EU095431		FJ159350			FJ159300		JF444320					AF257700		AJ606421	AJ628380	
Marmosa murina		DQ865899										DQ083137			GU112807		FJ159345			FJ159295							AF257705		HM106394	AJ628378	
Cercartetus concinnus	EU364635	EF551557					AF425975							GU566712			GU566724			GU566715				AY125036		GU566721	GU566718				
Didelphis albiventris		DQ865888										DQ083125			JN638972		FJ159333			FJ159283				AY125027			AF257682		U34667	AJ628373	
Lagorchestes conspicillatus						FJ603148	JN003384									JN003386	FJ603256			FJ603174						FJ603228	FJ603201	AF011264	JN003385		
Phascolosorex dorsalis														EU369357		AY528923	EU369374	AY531256		EU369362	L35339					EU372017	AY532686		AY533831	AY536432	
Gymnobelideus leadbeateri	GQ323964						GQ323899							FJ623975	JF444304		FJ624061			EF025766						FJ624037	FJ624013			U21173	
Dactylopsila trivirgata	GQ323963						GQ323900							FJ623973		AY228379	FJ624059			FJ623995						FJ624035	FJ624011			U21172	
Setonix brachyurus														FJ603165		AF027988	FJ603274			FJ603193	AF187541				AF380321	FJ603247	FJ603219		AY099269		
Murexia longicaudata																AY528905	FJ159361	AY531237	EF032339	FJ159311	L35336						FJ159325	AF011255	M99455	AF038015	
Potorous longipes							JX104578						JX104640	FJ603163	JX111906	AF028000	FJ603272			FJ603191	AF187548					FJ603245	FJ603217		AY237233	JX104631	
Macropus fuliginosus							JN003399							FJ603143		JN003401	FJ603262			FJ603180					EF555431	FJ603234	FJ603207		JN003400		
Metachirus nudicaudatus		DQ865907										DQ083145			HQ919678		FJ159353			FJ159303							AF257701		U34671	AF128230	
Wallabia bicolor							JN003388							FJ603167		AF027987	FJ603276			FJ603195	L35328					FJ603249	FJ603221	AF011265	EF368031		
Sarcophilus harrisii		EF551556														AY528922		AY531255	AF157094		L35324			AY125037			AY532685		M99465	U87402	
Acrobates pygmaeus		JN414873					AF425986	JN632719	JN632786	JN632879	JN633347	JN414389		FJ603115			FJ603136			FJ603119				AY125029		FJ603131	FJ603126				
Macropus rufus							JN967007							FJ603117		AF027985	FJ603138			FJ603121	L35447				AJ225135	FJ607154	FJ603127		U87136	JN966999	
Glironia venusta		DQ865891						JN632711	JN632778	JN632871	JN633341	DQ083128		JN413932			JN415021			FJ159286				JN633569			AF257688		U34666		
Perameles gunnii														JF912091			AY243411			AY243450						JF912122	AY243437			AF250020	
Isoodon obesulus														JF912090			JF912131			DQ354447						JF912121	JF912110	AF011227			
Cercartetus nanus	EU364648	JN414874					AY135178	JN632720	JN632787	JN632880	JN633348	JN414390		EU160445	DQ217587		EU160455			EU160440						EU160452	EU160449			JN255346	
Rhyncholestes raphanurus		JN414869				AY243432		JN632715	JN632782	JN632875	EF104988	JN414385					AY243416			AY243454				JN633573		AY243399	AY243440			AF038016	
Echymipera kalubu		JN414872				JF912088		JN632718	JN632785	JN632878	JN633346	JN414388		AY243420		JF706361	AY243405			JF912098				JN633575		JF912118	AF025383	AF044498	EU086683	JF694110	
Aepyprymnus rufescens		JN414878					JN003377	JN632724	JN632791	JN632884	JN633352	JN414395		EU160444		AF027999	EU160454			EU160439	AF187547			JN633580		EU160451	EU160448		EU086684	AY245613	
Caluromys philander		DQ865884						JN632710	JN632777	JN632870	JN633340	DQ083121		JN413926	GU112788	AF166345	FJ159329			FJ159279				JN633568		AY243385	AY233765		AJ628362	AF038014	
Dasyurus albopunctatus		JN414883						JN632729	JN632796	JN632889	JN633357	JN414400		JN413928		AF166349	AY243414	AY531251		AY243452	AF010272			JN633585		AY243398	AY532681	AF011239	U07580	AF009890	
Hypsiprymnodon moschatus		JN414879					AF425982	JN632725	JN632792	JN632885	JN633353	JN414396		FJ603118		AF027997	FJ603139			DQ354446	AF187545			JN633581		FJ603133	FJ603129	AF011228	AY237245	AY245611	
