taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	
Thallomys nigricauda														DQ381925										DQ381948																		DQ381930			
Pseudomys shortridgei			EF364506											FJ946451										FJ946477																					
Myotomys sloggetti														AF492724																										AF141254		AF492750			
Saxatilomys paulinae						JQ755944								JQ755859													JQ755820																		
Crateromys heaneyi						DQ191505								DQ191476															GQ405378																
Gerbillus nigeriae						AM408333								AJ430555																												AF141288			
Praomys delectorum						AY326104								JQ735743													JQ667868																		
Chrotomys silaceus						JQ898072								JQ898042															GQ405377																
Tatera indica														AJ430563													JN411129															AJ430553			
Parotomys brantsii														AF141224																										AF141255		JF795962			
Desmodilliscus braueri						FN357289								AJ851273																												AJ851259			
Taterillus arenarius						FN357288								AJ851261																												AJ851254			
Sekeetamys calurus													FJ411244	AJ851276																												AJ851246			
Carpomys phaeurus						DQ191501								DQ191475															GQ405373																
Srilankamys ohiensis						JN009857								JN009856															JN009860																
Bullimus bagobus						DQ191498								DQ191472															GQ405369																
Bullimus gamay						DQ191499								DQ191473															GQ405370																
Bunomys chrysocomus						AM910937								AM910934															AM910947																
Tarsomys apoensis						DQ191516								DQ191491															GQ405395																
Solomys ponceleti																																JN114410							JN114358	JN114316					
Melomys leucogaster																																JN114391							JN114339	JN114292					
Rhombomys opimus				EU635764										AJ430556																												AJ430590			
Pelomys campanae														AF141213																										AF141242		AF141273			
Crunomys melanius						DQ191506								DQ191477															GQ405379																
Malacomys edwardsi						DQ022392								DQ022379															AM910958																
Acomys spinosissimus						AY326074						FJ415547		AM409396																															
Niviventer confucianus						AY326100								JF796030													JF445111																		
Otomys irroratus														AF141222																										AF141253		JF795960			
Limnomys sibuanus						DQ191509								DQ191480															GQ405381																
Limnomys bryophilus						DQ191508								DQ191479															GQ405380																
Lemniscomys macculus														AF141208																										AF141237		AF141268			
Maxomys moi						JN105086								JN105094													JF445005																		
Myomyscus yemeni						DQ022409								AF518357															AM910968																
Mastomys pernanus						DQ022403								AF518343															AM910960																
Thallomys paedulcus														DQ381927															DQ019078										DQ070391			DQ381934			
Praomys derooi						DQ022405								JQ735752													JQ667876													JQ843974					
Uromys hadrourus																								U17184								JN114405							JN114353	JN114310					
Pachyuromys duprasi													FJ411234	AJ851274																												AJ851258		EF384232	
Paramelomys platyops			EF364481																													JN114398							JN114345	JN114302					
Apomys datae						EU349836								HM371076																									DQ023431		EU349702				
Desmomys harringtoni						EU292144								AF141206																										AF141233		AF141264			
Bandicota savilei						HM217623								HM217427													HM217516							JN566377											
Pelomys fallax						DQ022391								DQ022382																										AF141243		AF141274			
Hylomyscus denniae						AY326088								JQ735510										DQ902760																JQ843732					
Gerbillurus paeba					AY693635	AM910941								AJ430557																												AJ430591			
Rhabdomys dilectus														FR837652												JQ003295	JQ003455									JQ003268									
