taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	
Scotonycteris zenkeri		JN398280	JN398312		JF444230		JN398265												JN398192	JN398297					JN398216				
Alionycteris paucidentata		GQ410289	GQ410243				JN398248												GQ410338	GQ410266					GQ410222	GQ410316			
Penthetor lucasi		GQ410285	GQ410239		HM541184		JN398261												DQ002950	GQ410262					GQ410216	GQ410310			
Otopteropus cartilagonodus		GQ410292	GQ410246				JN398249									AY974727			GQ410341	GQ410269					GQ410223	GQ410317			
Ptenochirus jagori		DQ445696	GQ410234				JN398250									AY922886			GQ410328	GQ410257					GQ410211	GQ410304			
Melonycteris fardoulisi		DQ445699	EU617907				JN398237		AY044740											EU617957					FJ218478	U93056		AY044682	
Dyacopterus spadiceus		GQ410298	GQ410252		HM540243		JN398259												DQ002945	GQ410275					GQ410230	GQ410324			
Megaerops ecaudatus		GQ410283	GQ410237		JF443968		JN398262												FJ529125	GQ410260					EF201645	GQ410308			
Haplonycteris fischeri		GQ410293	GQ410247				JN398245									AY817800			GQ410342	GQ410271					GQ410225	GQ410320			
Sphaerias blanfordi		GQ410297	GQ410251		HM541956		JN398230												GQ410346	GQ410274					GQ410228	GQ410323			
Syconycteris australis		FJ218470	GQ410255				JN398247		AY044733							AY504597				GQ410278					GQ410232	U93060		AY044676	
Epomophorus gambianus				JX283025	JX282937					JX282911	JX282968	JX282997													JF728751				
Melonycteris melanops		FJ218469	FJ218461		DQ487791		JN398223		AY044738				AF044614							FJ218465					JN398207			AY044681	
Chironax melanocephalus	HM138584	GQ410288	GQ410242		HM540191		JN398256												EF139876	GQ410265					GQ410220	HM067819		AY044691	
Balionycteris maculata	HM138589	GQ410295	GQ410249		JF443874		JN398257						AF044605						EF110989	GQ410272					GQ410227	HM067818			
Macroglossus minimus		DQ445693	EU617905		HM540788		JN398229		AY044736				AF044615			AY504586				EU617955					JN398206	U93062		AY044678	
Aethalops alecto	FJ939729	GQ410287	GQ410240		HM540109		JN398260		DQ845091				AF044604						EF110985	GQ410264					GQ410219			AY044696	
Acerodon celebensis		EU617928	EU617896				JN398239												AF293641	EU617946					GQ410231	U93071	EU912354		
Epomophorus wahlbergi		DQ445691	EU617903				JN398266						AF044611	AF044642					AF203744	EU617953	AJ865425	AJ865670	AJ866319	AJ866373	DQ445706	AY044747			
Micropteropus pusillus		JN398275	JN398308	JX283037	JX282949		JN398241			JX282923	JX282980	JX283008	AF044617	AF044648						JN398292					JF728641				
Rousettus amplexicaudatus		AF447547	AF447529		HM541863		JN398263						AF044626							AF447512					AB046329	AY044750	EU912352	AY044690	
Epomops franqueti		JN398271	JN398304	JX283026	JX282938		JN398233			JX282912	JX282969	JX282998	AF044608	AF044639						EU617952					JX283288	AY044745		AY044687	
Pan paniscus			HM758906					HM763828							HM763123		HM759869			HM759078									
Pan troglodytes			HM758908					AF535050							HM763124		HM759806			HM759079									
Megaloglossus woermanni		DQ445702	EU617906	JX283032	JF444181		JN398231		AY044748	JX282919	JX282976	JX283004	AF044620	AF044651					AF203741	EU617956					DQ445710	U93055		AY044689	
Eidolon helvum		EU617931	EU617900	JX283024	JF442384		JN398240			JX282910	JX282967	JX282996	AF134559			AY504585				EU617950					JX283291	AY044746	EU912373	AY044688	
Rousettus aegyptiacus		DQ445688	EU617927	JX283049	JF442671					JX282933	JX282992	JX283020	AF134561			AY504596				EU617979	AJ865426	AJ865671	AJ866320	AJ866374	DQ445713				
Cynopterus brachyotis		GQ410279	GQ410233		JQ599879	AY922562	JN398258	AY834508					AF044606		AY839080	AY926607	AY835940		EF139868	GQ410256					GQ410210	AY044759	EU912353	AY044697	
Eonycteris spelaea		DQ445684	EU617901		HM540248		JN398254		AY044743				AF044610							EU617951					AB046324	U93059		AY044685	
Stenonycteris lanosus		JN398281	JN400925	JX283051	JX282964		JN398244	AY011484		JX282934	JX282993	JX283021	AF044630	AF044661	AY011667		AY011791		JN398193	JN398298					JX283246	AY012139			
Nyctimene albiventer		AF447549	AF447531					AY834509							AY839081	AY504588	AY835941		AF293640	AF447514					DQ314264	U61077		AY044669	
