taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	marker.48	marker.49	marker.50	marker.51	marker.52	marker.53	marker.54	marker.55	marker.56	marker.57	marker.58	marker.59	marker.60	marker.61	marker.62	marker.63	marker.64	marker.65	marker.66	marker.67	marker.68	marker.69	marker.70	marker.71	marker.72	marker.73	marker.74	marker.75	marker.76	marker.77	marker.78	marker.79	marker.80	marker.81	marker.82	marker.83	marker.84	marker.85	marker.86	marker.87	marker.88	marker.89	marker.90	
Oryzorictes talpoides																																										AY986750	AY986737																																							AF392886										
Ctenodactylus gundi	U67301																													JN414815																																																									JN415077					
Ctenodactylus vali	AJ389543																													AM407923																																																									AJ238387					
Tachyglossus aculeatus																								AM087208																								AF303971																						U02579																						
Proechimys guyannensis									JF458867																																																										AY206619					AJ251398																				
Sorex ugyunak																																							JN889176																		JN889065															JN889509																				
Dendrogale melanura	AY862167																																																										JF795293													AY321634																				
Bathyergus suillus	AY427020																																																																							AY425913															AJ238384					
Petaurus australis		GQ323890	GQ323955																												GQ323979																																																													
Mogera insularis	AB181643																																															AB176544																								AB181619																				
Sciurus lis	D50286																		FN678794																																																				AB249880	AB192907																				
Lophostoma silvicolum									JF454889																										AF442081																								AF263230													JF923851																				
Lophostoma brasiliense									JF499024																										AF316489																								AF411544													FJ155486																				
Sorex tundrensis									GU929323																														HM036124																		HM992794															GU564737																				
Crocidura obscurior				JQ732573					JQ732351																																																		JQ732677													JF276229																				
Pteronotus gymnonotus									JF447711																										AF338694																								AF407177													AF338673																				
Sciurus niger	U67289								JF457111												GU952775																																																		JX104360	U10180																				
Proechimys simonsi	AF422864								JF459026																																																										EU313292					EU313249															AJ849320					
Dendrogale murina	AY862168																												FJ554997																FJ554909	FJ554931													JF795295																																	
Mogera wogura	AB106238																							AB638543																								AB106244											AB032843													AB638505																				
Genetta thierryi																														DQ267560																																										AY241893				AY232625									DQ395234	DQ395203						
Perameles gunnii	AF250020																	JF912122												AY243437																				JF912091																AY243450																					AY243411					
Perameles bougainville	AF250019																	JF912123												JF912111																				JF912092																JF912100																					JF912132					
Tragulus javanicus																							AJ309714																		GQ487603	GQ487614																	AY121991													D32189								EU189386												
Crocidura lepidura				EF525104																												FJ814588																									FJ813796		EF524847													FJ814023												FJ814362								
Pteronotus parnellii					EU087938	EU087989			JF448343																										AF330817																								AF263221													AF338664																				
Genetta maculata																														DQ267562				DQ683986																																						AY241912				AY232627									DQ395227	DQ395188						
Macroglossus sobrinus									HM540809																										JN398307				JN398236									JN398291											DQ002948													EU521603															JN398274					
Macroglossus minimus									HM540788																										EU617905				JN398229									EU617955											DQ002947													AY922744															DQ445693					
Lasiorhinus latifrons	U21175																	FJ624039			HM008259									FJ624015																															FJ623977					FJ623998																					FJ624063					
Tupaia splendidula	AY862181																												FJ555013						FJ554990							FJ554903			FJ554924	FJ554947									FJ554969				JF795319																																	
Diceros bicornis																						AF113550															AY239185					JQ073059													JF718842		AY243375													AF191837		EU107377										AM905343										
Sylvilagus nuttallii	AY292697											AM778419																																							AY292671	AY292747	AY292774	AY292816		AY292842																AY292723																				
Delphinus tropicalis																									FJ490579	FJ490597	JX206176	JX206267														AY954641																											JX206084			JX264571											JX206357									
Echymipera clara	AF297695																	JF912116												JF912106			AF011231																	JF912086									JF706363							JF912096						JF718351															JF912127					
Sylvilagus palustris	AY292701										EU686568																																								AY292675	AY292751	AY292778	AY292820		AY292846																AY292727							EF062315													
Catagonus wagneri	AY546514																																																						AY546538			HQ609787														U66291	AY546524	AY546534	AY546530			AY546520			AY546527											
Tayassu pecari	AY726776								JF459284																																														AY546537			HQ609774														AY534303	AY546525	AY546535	AY546531			AY546516			AY546528											
Tupaia glis	AY862174																												FJ555006						FJ554983							FJ554895			HM763162	HM759747									FJ554961				JF795307					DQ354454								AY321645																				
Priodontes maximus	AJ505829																							AJ427372																																								AF484225	AJ505838			JQ405334																			AJ427363	EF465562	EF465622	EF465663	EF465928	
Chaetophractus villosus	U61080																							AJ315935											AY011923						AY011380					AY011748											AY243378			AY011689				AF284000	AJ505835			JQ405333																			FR821706					
Tapirus terrestris									JF444475											U83504				AJ315939												JF718947			JF718862																JF718845							JF718896	JF718913							AF191836		GQ259952																				
Choloepus didactylus	Z48941																													FR871851					AY011921			AY011192		AY011314	AY011378	AY011442		AY011560	AY011623	AY011746	AY011809	AY011866																AF484229	AJ505830			JQ405328																			AJ278160					
Eubalaena japonica													EU444901	EU444976	EU445000	EU445038	EU445062																				EU445025				EU444964	EU444889							EU444951																												JX441356															
Rhynchocyon petersi																								JN413888						JN414765					JN633300			JN633413		JN633535	JN633724	JN633360	JN632733	JN633152	JN633470		JN633782	JN633589							JN633829				EU136153	JN633232																						JN414682					JN415025					
Loxodonta africana																								JN413853						U48711					AY011932			AY011204		AY011326	AY011390	AY011453	AY011513	AY011571	AY011635		AY011817	AY011875							AY011994					AY011698												AY768928										AF332012					U31615					
Hexaprotodon liberiensis	Y08811													EU444981	EU445005	EU445043	EU445067																				AY239181				GQ487609	GQ487616							AF165655				AF165653				AY243372		AF107222					DQ354463						AF107216		Y08814																				
Ochotona hyperborea							EU142152	EU142174																											AY011953			AY011222		AY011346	AY011409	AY011473	AY011530	AY011592		AY011779	AY011836	AY011896							AY012011					AY011717												EF567057																				
Lepus americanus	U58923									EU258269		AM778428																																							JN037122	AY292757	AY292784	AY292826		AY292852			DQ334833													HQ596460							JN037400													
Lepus californicus	U58924									EU258271	EU686531																																								AY292679	AY292755	AY292782	AY292824		AY292850																HQ596465							JN037402													
Tapirus indicus	AY012148								JF444473											U83507		AF113548		JN413892						JN414805						JF718949	AY239186		JF718864			AY011495													JF718847		JN414031					JF718898	JF718915	JN414179						AF191833		JF718881										EU448990										
Choloepus hoffmanni	AY012093																													JN414767					AY011920			AY011191		AY011313	AY011377	AY011441		AY011559	AY011622	AY011745	AY011808	AY011865									JN413958			AY011687				JN414134				JQ405329																			JN415027	EF465571	EF465631	EF465668	EF465935	
Manis tricuspis							JN633019	JN632817																JN413857						JN414785							JN414917	JN633424			JN633735	JN633373	JN632754		JN633493	JN633103	JN633792	JN633610									JN414000			JN633254				JN414169																		JN414721					JN415054					
Manis pentadactyla							JN633018	GU931086																JN413856						JN414784							JN414916	AY011251			AY011438	AY011501	EF104992		AY011684	AY011807	AY011863	AY011919									JN413999			AY011742				JN414168																		EU448992					JN415053					
Lagenorhynchus albirostris					EU087965	EU088001							JF504866		JF504748									AJ315940	JF504990										EF093065	FJ773302	JF505025				JF504773																		U13113											Z18646		X92530		JF505095			EF092928															
Lontra longicaudis																														AB564042					EF472418			EF987483	EF472306		EF987567	EF987610				EF472391	EF987937	EF472405									EF472289		EF472275													HM997014				AF039734											AB564044					
Caenolestes fuliginosus	U61072						JN632971	JN632781										AY243384												AF025381					JN633282						JN633708	JN633343	JN632714	JN633134	JN633454			AF303967							JN633811				AF102808	JN633216	AY243418					AF355794						AF102816										JN414663										
Lagenorhynchus acutus					EU087950	EU088006							JF504867		JF504749										JF504991										EF093069	FJ773301					JF504774								JF505042										JF504723											JF504713		EF093020		JF505096			FR668244			JF504843												
Delphinus capensis							HQ825357			HQ825581			JF504854		JF504738										FJ490577	FJ490595	JX206142	JX206241								JF504933	JF505018				JF504762								JF505029						HQ826944														JX206135			AF084087		JF505083			HE680171						JX206322									
Echymipera kalubu	JF694110						JN632974	JN632785										JF912118												AF025383			AF044498		JN633286						JN633711	JN633346	JN632718	JN633138	JN633458			JN633575		JF912088					JN633815				JF706361	JN633220	AY243420					JF912098						EU086683															AY243405					
