taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	
Makalata grandis													EU313256				EU313295													EU313336				
Trinomys yonenagae			AF422899										AF194295											AJ849318										
Fukomys amatus													AF012233										AY426994			AF012216								
Phyllomys nigrispinus													EF608184					JF297670						JF297719										
Galea spixii													GU067492													AF433912		AF433935						
Dolichotis salinicola													GU136723													AF433919		AF433940						
Isothrix barbarabrownae													EU313214				EU313263													EU313304				
Atherurus africanus													HQ450775			AF548416										AY093658								
Lonchothrix emiliae			AF422891										AF422921													AF422857								
Kerodon rupestris													GU136722													AY765988		AF433938						
Myoprocta acouchy													AF437781													AF433922		AF433944						
Pipanacoctomys aureus													GQ121093					GQ121052								AY249753								
Sphiggurus melanura													AF411583											AJ224664		AJ389549								
Microcavia australis													AF491750													AY765989		AF433937						
Clyomys laticeps			AF422885										AF422918											AJ849306		AF422851								
Hystrix indica			JN714145										AY692229					JN714184													EU330841			
Trinomys paratus			AF422900										U35165											AJ849316	AF194292									
Fukomys mechowii							DQ846637						EF043451										AY427005			AF012214								
Proechimys guyannensis													AJ251398				AY206619	JF458867											AJ251424					
Proechimys quadruplicatus													U35413					JF458986						AJ849313		AF422863								
Phyllomys brasiliensis													U35412					JF297680						JF297729		AY093666								
Mesomys occultus			AF422892														EU313290									AF422858				EU313331				
Galea musteloides													GU082485									AY823474				AF433911		AF433932						
Cavia aperea													GU136741	U18838												AY765987		AF433930						
Kannabateomys amblyonyx			AF422883										EU544665											AJ849310		AF422850								
Coendou bicolor													U34852										FJ865456			AF520695		AF520663						
Ctenomys leucodon												JF910115	AF007056						AY622648	AY622629	AY823484													
Trichys fasciculata	FM162102	FM162135		AJ550798											AJ427266													FM162081						
Bathyergus janetta													AF012241										AF159320			AY425843						AM909828	AM909840	
Isothrix sinnamariensis													AY745734				EU313272	JF458606						AJ849309						EU313313				
Myoprocta pratti			AF422880										U34850					JF444937								AF433923		AF433946						
Dactylomys dactylinus			AF422908										L23335				EU313260									AF422874				EU313301				
Octomys mimax									GQ168718				GQ121091					GQ121057			AY823479					AF520686								
Abrocoma cinerea	FM162106	FM162139											AF244388													AF520666		AF520643						
Aconaemys fuscus									AY836575				AF405351	HM636483							AY823480					AF520674								
Georychus capensis							DQ846638						AF012243	U18837									AF159319			AY425844		FJ855203						
Makalata macrura			AF422913										EU302700				EU313286							AJ849312		AF422879				EU313329				
Octodon lunatus													AF227514		AM050860									AJ238386		AF520682	AM050863							
