taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	
Liberiictis kuhni									AY974035												FJ391207													AF522342					
Viverra zibetha																														HQ833292		JN709945		AF511047					
Phocarctos hookeri																	EF440388																	U12851				U12850	
Bdeogale crassicauda								AY950642													FJ391186													AY950654					
Poiana richardsonii																														DQ395235			DQ395193	AF511049					
Atilax paludinosus									AY974021												FJ391185													AF522324					
Crossarchus obscurus																					FJ391189			AY170071										AY170101					
Conepatus leuconotus										GU931067	GU930899																							AY587093					
Galerella pulverulenta		U78332							AY974026																									AF522330					
Galerella sanguinea									AY974027										GU183516															AF522331					
Herpestes brachyurus									FJ391229												FJ391196													FJ391225					
Genetta johnstoni																														GU183527			DQ395191	AY241892					
Genetta thierryi																														DQ395234			DQ395203	AY241893					
Helogale hirtula								AY950647													FJ391199													AF522335					
Bdeogale nigripes								AY950643	AY974022												FJ391187													AY950655					
Mydaus marchei		U78342														GU930863												GU931258						AY587074					
Galidictis fasciata								AY170022																AY170070										AY170100			AJ893547		
Herpestes ichneumon									AY974030										GU183499		FJ391200													AF522337					
Herpestes naso								AY950649	AY974032												FJ391204													AF522339					
Viverricula indica																														HQ833310		JN709946		AF511044			AJ893552		
Mungotictis decemlineata								AY170016											JN377989		JN378029			AY170063										JN378095					
Cynictis penicillata									AY974025										U28425		FJ391190			AY170079										AF511060					
Arctictis binturong													JN587091								EF680503	EF440399												AY048793	EU041901				
Lyncodon patagonicus											AB564055	AB564056		AB564061											AB564058						AB564064			AB564060					
Mungos mungo									AY170035		AY928686			AY928750							FJ391208		AY928726	AY170065										AY928674					
Bassariscus sumichrasti			DQ660198								DQ660184			DQ660261				DQ660233									DQ660247							DQ660301					
Paguma larvata											AB193435	AB371337							EU910527		FJ881535													AB303954					
Mydaus javanensis												AB371328		AB371341									AB564094	AB371346	AB564093						AB371360			AB564095					
Conepatus chinga			GU930997													GU930862									GU931100	GU930920		GU931257						L27296					
Melogale personata			EF987643											EF987988		EF987518											EF987970	EF988013						EF987756					
Bassaricyon gabbii			DQ660196								DQ660182			DQ660259				DQ660231					DQ533951					DQ660273						DQ660300				Y08509	
Procyon cancrivorus			DQ660202								AB564097	AB285370		DQ660265				DQ660237									DQ660251	DQ660278			AB285416			DQ660305					
Galidia elegans								AY170020		GU931059								AF006404					GU931117	AY170069		GU930913	GU931178	GU931252	GU931286					AY170098			AJ893546		
Meles anakuma	AB491609											AB285353		AB285383											AB564067						AB285399			AB285330					
Mirounga leonina															AY377353					AY377232														X82298		FJ168150		Y08523	
Nasua narica			DQ660199								DQ660185			DQ660262				DQ660234							DQ205769		DQ660248	DQ660275						DQ533940					
Ichneumia albicauda			GU930985						AY974034	GU931055	GU930890					GU930849			EU871433		FJ391206					GU930910	GU931175	GU931249	GU931283					AF522341					
Otaria byronia															AY377362						AY882055		DQ205812	DQ205889	DQ205778									AY377328	EU041894				
Rhynchogale melleri			GU930986						AY974036	GU931056	GU930891					GU930850					FJ391209					GU930911	GU931176	GU931250	GU931284					AF522344					
